(!) the `splitVendorChunk` plugin doesn't have any effect when using the object form of `build.rollupOptions.output.manualChunks`. Consider using the function form instead.
1:13:41 PM [vite] (client) Forced re-optimization of dependencies

  VITE v6.4.1  ready in 131 ms

  ➜  Local:   http://localhost:5174/
  ➜  Network: use --host to expose
3:18:12 PM [vite] (client) hmr update /src/components/WarMap/WarMapContainer.tsx
3:18:59 PM [vite] (client) hmr update /src/components/WarMap/WarMapContainer.tsx
3:21:25 PM [vite] (client) hmr update /src/components/WarMap/TacticalBriefing.tsx
3:21:30 PM [vite] (client) hmr update /src/components/WarMap/WarMapContainer.tsx
3:22:52 PM [vite] (client) hmr update /src/components/WarMap/TacticalBriefing.tsx
3:30:44 PM [vite] (client) hmr update /src/components/Brain/BrainInterface.tsx
3:34:21 PM [vite] (client) hmr update /src/components/Quests/QuestsPage.tsx
3:34:55 PM [vite] (client) hmr update /src/components/Quests/QuestsPage.css
3:37:01 PM [vite] (client) hmr update /src/components/Revision/RevisionCards.css
3:37:26 PM [vite] (client) hmr update /src/components/Revision/RevisionCards.tsx
3:39:20 PM [vite] (client) hmr update /src/components/Revision/MnemonicGenerator.css
3:41:09 PM [vite] (client) hmr update /src/components/Revision/MnemonicGenerator.tsx
3:41:21 PM [vite] (client) hmr update /src/components/Revision/MnemonicGenerator.tsx
3:47:44 PM [vite] (client) hmr update /src/components/MindMap/D3Tree.tsx
3:48:11 PM [vite] (client) hmr update /src/components/MindMap/MindMapCreator.tsx
3:49:00 PM [vite] (client) hmr update /src/components/MindMap/MindMapCreator.css
3:49:49 PM [vite] (client) hmr update /src/components/MindPalace/MindPalace.css
3:50:07 PM [vite] (client) hmr update /src/components/MindPalace/MindPalace.tsx
3:52:22 PM [vite] (client) hmr update /src/components/Revision/RevisionCenter.css
3:53:05 PM [vite] (client) hmr update /src/components/Revision/RevisionCenter.css
3:53:07 PM [vite] (client) hmr update /src/components/Revision/RevisionCenter.tsx
3:54:13 PM [vite] (client) hmr update /src/components/TimeBoxing/TimeBoxing.tsx
3:54:15 PM [vite] (client) hmr update /src/components/TimeBoxing/TimeBoxing.css
